type	num	wineHeight	voxel_volume	pixels	filename	expectedMl
A	1	332	0	0	A_1	0
A	2	324	47798	344	A_2	5
A	3	318	108789	685	A_3	10
A	4	313	173986	1007	A_4	15
A	5	309	234698	1285	A_5	20
A	6	306	284928	1504	A_6	25
A	7	303	339370	1732	A_7	30
A	10	294	523976	2459	A_10	45
A	11	291	592076	2714	A_11	50
A	12	289	639632	2888	A_12	55
A	13	286	713728	3154	A_13	60
A	14	283	790635	3425	A_14	65
A	15	281	843240	3608	A_15	70
A	16	279	893608	3787	A_16	75
A	17	277	947950	3973	A_17	80
A	18	275	1003468	4161	A_18	85
A	19	273	1060172	4351	A_19	90
A	20	271	1115714	4539	A_20	95
A	21	269	1172425	4729	A_21	100
A	22	267	1230329	4921	A_22	105
A	23	265	1286452	5110	A_23	110
A	24	264	1311336	5199	A_24	115
A	25	262	1355725	5367	A_25	120
A	26	260	1401695	5538	A_26	125
A	27	258	1435177	5684	A_27	130
A	28	256	1465247	5822	A_28	135
A	29	254	1511180	5993	A_29	140
A	30	253	1535508	6081	A_30	145
A	31	251	1584164	6257	A_31	150
A	32	249	1632820	6433	A_32	155
A	33	248	1657148	6521	A_33	160
A	34	246	1712690	6709	A_34	165
A	35	244	1770601	6901	A_35	170
A	36	242	1829112	7094	A_36	175
A	37	241	1862441	7197	A_37	180
A	38	239	1928455	7402	A_38	185
A	39	237	1993825	7606	A_39	190
A	40	236	2026510	7708	A_40	195
A	41	234	2091880	7912	A_41	200
A	42	232	2157250	8116	A_42	205
A	43	230	2223908	8322	A_43	210
A	44	229	2257237	8425	A_44	215
A	45	227	2323895	8631	A_45	220
A	46	225	2390553	8837	A_46	225
A	47	224	2423882	8940	A_47	230
A	48	222	2481186	9131	A_48	235
A	49	220	2539697	9324	A_49	240
A	50	219	2569256	9421	A_50	245
A	51	217	2623054	9606	A_51	250
A	52	215	2680434	9797	A_52	255
A	53	213	2740776	9993	A_53	260
A	54	212	2770335	10090	A_54	265
A	55	210	2829458	10284	A_55	270
A	56	208	2889800	10480	A_56	275
A	57	207	2920590	10579	A_57	280
A	58	205	2980320	10774	A_58	285
A	59	203	3031857	10955	A_59	290
A	60	201	3089175	11146	A_60	295
A	61	199	3150761	11344	A_61	300
A	62	198	3181551	11443	A_62	305
A	63	196	3242512	11640	A_63	310
A	64	194	3304092	11838	A_64	315
A	65	192	3363834	12033	A_65	320
A	66	190	0	0	A_66	325
A	67	188	0	0	A_67	330
B	2	308	53629	523	B_2	5
B	3	298	119976	982	B_3	10
B	4	290	188976	1401	B_4	15
B	5	284	248455	1738	B_5	20
B	6	278	314453	2093	B_6	25
B	7	273	374451	2402	B_7	30
B	8	268	438394	2721	B_8	35
B	9	265	478624	2917	B_9	40
B	10	260	549564	3253	B_10	45
B	11	256	608961	3528	B_11	50
B	12	252	670097	3807	B_12	55
B	13	248	734341	4093	B_13	60
B	14	245	784109	4311	B_14	65
B	15	240	869200	4679	B_15	70
B	16	236	939416	4978	B_16	75
B	17	233	992909	5204	B_17	80
B	18	230	1046421	5430	B_18	85
B	19	227	1102299	5661	B_19	90
B	20	223	1176803	5969	B_20	95
B	21	220	1232681	6200	B_21	100
B	22	217	1290020	6434	B_22	105
B	23	215	1327278	6588	B_23	110
B	24	212	1385116	6823	B_24	115
B	25	209	1440032	7052	B_25	120
B	26	206	1497389	7286	B_26	125
B	27	203	1556707	7524	B_27	130
B	28	201	1596919	7684	B_28	135
B	29	198	1647311	7903	B_29	140
B	30	195	1691451	8108	B_30	145
B	31	192	1728855	8297	B_31	150
B	32	190	1743635	8394	B_32	155
B	33	187	1767550	8545	B_33	160
B	34	184	1796517	8710	B_34	165
B	35	182	1822657	8839	B_35	170
B	36	179	1862974	9035	B_36	175
B	37	177	1885598	9155	B_37	180
B	38	174	1925208	9348	B_38	185
B	39	172	1954267	9484	B_39	190
B	40	169	1997003	9686	B_40	195
B	41	167	2031211	9833	B_41	200
B	42	164	2089593	10069	B_42	205
B	43	162	2129343	10228	B_43	210
B	44	159	2193783	10476	B_44	215
B	45	157	2237067	10642	B_45	220
B	46	155	2276791	10801	B_46	225
